event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Atlanta Hawks @ Utah Jazz,Ace Bailey,Assists,5,,,,1380.0,,,750.0,1500.0,HardRockBet,1500.0,16.0,11.65,1.3733905579399142
Indiana Pacers @ Phoenix Suns,Grayson Allen,Double-Double,Yes,,,2500.0,3400.0,,2500.0,1800.0,3000.0,DraftKings,3400.0,35.0,25.5,1.3725490196078431
Atlanta Hawks @ Utah Jazz,Keyonte George,Threes,6,,,1800.0,2500.0,,1800.0,,,DraftKings,2500.0,26.0,19.0,1.368421052631579
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,4,550.0,285.0,385.0,401.0,,430.0,,,BetMGM,550.0,6.5,4.7524999999999995,1.367701209889532
Indiana Pacers @ Phoenix Suns,Grayson Allen,Points,35,,,2800.0,4500.0,,4000.0,,3000.0,DraftKings,4500.0,46.0,33.666666666666664,1.3663366336633664
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Points,30,,,1700.0,3300.0,,2500.0,,3000.0,DraftKings,3300.0,34.0,25.0,1.36
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Threes,6,,,1200.0,1800.0,,1400.0,,,DraftKings,1800.0,19.0,14.0,1.3571428571428572
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Points,10,310.0,,265.0,362.0,285.0,310.0,300.0,450.0,HardRockBet,450.0,5.5,4.053333333333334,1.356907894736842
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Points,35,,,1200.0,2200.0,,1500.0,,2250.0,HardRockBet,2250.0,23.5,17.333333333333332,1.3557692307692308
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Points,30,1000.0,,950.0,1180.0,1000.0,1060.0,850.0,1400.0,HardRockBet,1400.0,15.0,11.066666666666668,1.3554216867469877
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Points,35,,,2400.0,3600.0,,2500.0,,3000.0,DraftKings,3600.0,37.0,27.333333333333332,1.353658536585366
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Blocks,2,,,,650.0,500.0,410.0,,,DraftKings,650.0,7.5,5.55,1.3513513513513513
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Rebounds,4,,,,137.0,,,,220.0,HardRockBet,220.0,3.2,2.37,1.350210970464135
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Steals,2,,255.0,,152.0,160.0,178.0,,,BetRivers,255.0,3.55,2.6333333333333333,1.3481012658227847
Atlanta Hawks @ Utah Jazz,Ace Bailey,Rebounds,12,,,,,,2200.0,,3000.0,HardRockBet,3000.0,31.0,23.0,1.3478260869565217
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Double-Double,Yes,875.0,,750.0,1140.0,,750.0,850.0,900.0,DraftKings,1140.0,12.4,9.25,1.3405405405405406
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Rebounds,16,,,,630.0,,540.0,350.0,,DraftKings,630.0,7.3,5.45,1.3394495412844036
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Double-Double,Yes,,,1100.0,1440.0,,1200.0,1000.0,900.0,DraftKings,1440.0,15.4,11.5,1.3391304347826087
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Rebounds,5,,,,610.0,,,,850.0,HardRockBet,850.0,9.5,7.1,1.3380281690140845
