event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
Las Vegas Raiders @ Kansas City Chiefs,Rashee Rice,AnytimeTD,Anytime,,,,135.0,,,,,,DraftKings,135.0,2.35,,
Las Vegas Raiders @ Kansas City Chiefs,Travis Kelce,AnytimeTD,Anytime,,,,155.0,,,,,,DraftKings,155.0,2.55,,
Los Angeles Rams @ Jacksonville Jaguars,Bhayshul Tuten,AnytimeTD,Anytime,,,,,,,,325.0,,HardRockBet,325.0,4.25,,
Los Angeles Rams @ Jacksonville Jaguars,Blake Corum,AnytimeTD,Anytime,,,,,,,,225.0,,HardRockBet,225.0,3.25,,
Los Angeles Rams @ Jacksonville Jaguars,Davis Allen,AnytimeTD,Anytime,,,,,,,,1000.0,,HardRockBet,1000.0,11.0,,
Los Angeles Rams @ Jacksonville Jaguars,Dyami Brown,AnytimeTD,Anytime,,,,,,,,350.0,,HardRockBet,350.0,4.5,,
Los Angeles Rams @ Jacksonville Jaguars,Hunter Long,AnytimeTD,Anytime,,,,,,,,575.0,,HardRockBet,575.0,6.75,,
Los Angeles Rams @ Jacksonville Jaguars,Johnny Mundt,AnytimeTD,Anytime,,,,,,,,800.0,,HardRockBet,800.0,9.0,,
Los Angeles Rams @ Jacksonville Jaguars,Jordan Whittington,AnytimeTD,Anytime,,,,,,,,230.0,,HardRockBet,230.0,3.3,,
Los Angeles Rams @ Jacksonville Jaguars,LeQuint Allen Jr.,AnytimeTD,Anytime,,,,,,,,1100.0,,HardRockBet,1100.0,12.0,,
Los Angeles Rams @ Jacksonville Jaguars,Matthew Stafford,AnytimeTD,Anytime,,,,,,,,750.0,,HardRockBet,750.0,8.5,,
Los Angeles Rams @ Jacksonville Jaguars,Parker Washington,AnytimeTD,Anytime,,,,,,,,550.0,,HardRockBet,550.0,6.5,,
Los Angeles Rams @ Jacksonville Jaguars,Puka Nacua,AnytimeTD,Anytime,,,,,,,,-115.0,,HardRockBet,-115.0,1.8695652173913042,,
Los Angeles Rams @ Jacksonville Jaguars,Terrance Ferguson,AnytimeTD,Anytime,,,,,,,,2000.0,,HardRockBet,2000.0,21.0,,
Los Angeles Rams @ Jacksonville Jaguars,Tim Patrick,AnytimeTD,Anytime,,,,,,,,1200.0,,HardRockBet,1200.0,13.0,,
Los Angeles Rams @ Jacksonville Jaguars,Travis Hunter,AnytimeTD,Anytime,,,,,,,,300.0,,HardRockBet,300.0,4.0,,
Los Angeles Rams @ Jacksonville Jaguars,Trevor Lawrence,AnytimeTD,Anytime,,,,,,,,325.0,,HardRockBet,325.0,4.25,,
Los Angeles Rams @ Jacksonville Jaguars,Tutu Atwell,AnytimeTD,Anytime,,,,,,,,375.0,,HardRockBet,375.0,4.75,,
Los Angeles Rams @ Jacksonville Jaguars,Tyler Higbee,AnytimeTD,Anytime,,,,,,,,300.0,,HardRockBet,300.0,4.0,,
Miami Dolphins @ Cleveland Browns,De'Von Achane,AnytimeTD,Anytime,,,,-130.0,,,,,,DraftKings,-130.0,1.7692307692307692,,
Miami Dolphins @ Cleveland Browns,Jaylen Waddle,AnytimeTD,Anytime,,,,230.0,,,,,,DraftKings,230.0,3.3,,
Miami Dolphins @ Cleveland Browns,Jerry Jeudy,AnytimeTD,Anytime,,,,255.0,,,,,,DraftKings,255.0,3.55,,
Miami Dolphins @ Cleveland Browns,Quinshon Judkins,AnytimeTD,Anytime,,,,-150.0,,,,,,DraftKings,-150.0,1.6666666666666665,,
New England Patriots @ Tennessee Titans,Calvin Ridley,AnytimeTD,Anytime,,,,285.0,,,,,,DraftKings,285.0,3.85,,
New England Patriots @ Tennessee Titans,Drake Maye,AnytimeTD,Anytime,,,,295.0,,,,,,DraftKings,295.0,3.95,,
New England Patriots @ Tennessee Titans,Stefon Diggs,AnytimeTD,Anytime,,,,140.0,,,,,,DraftKings,140.0,2.4,,
New England Patriots @ Tennessee Titans,Tony Pollard,AnytimeTD,Anytime,,,,135.0,,,,,,DraftKings,135.0,2.35,,
New York Giants @ Denver Broncos,Adam Prentice,AnytimeTD,Anytime,,,,,,,,1300.0,,HardRockBet,1300.0,14.0,,
New York Giants @ Denver Broncos,Adam Trautman,AnytimeTD,Anytime,,,,,,,,850.0,,HardRockBet,850.0,9.5,,
New York Giants @ Denver Broncos,Beaux Collins,AnytimeTD,Anytime,,,,,,,,1200.0,,HardRockBet,1200.0,13.0,,
New York Giants @ Denver Broncos,Bo Nix,AnytimeTD,Anytime,,,,,,,,275.0,,HardRockBet,275.0,3.75,,
New York Giants @ Denver Broncos,Bo Nix,Passing,250,,,,,,,,160.0,,HardRockBet,160.0,2.6,,
New York Giants @ Denver Broncos,Bo Nix,Passing,300,,,,,,,,525.0,,HardRockBet,525.0,6.25,,
New York Giants @ Denver Broncos,Bo Nix,Rushing,25,,,,,,,,175.0,,HardRockBet,175.0,2.75,,
New York Giants @ Denver Broncos,Bo Nix,Rushing,50,,,,,,,,850.0,,HardRockBet,850.0,9.5,,
New York Giants @ Denver Broncos,Cam Skattebo,Receiving,25,,,,,,,,200.0,,HardRockBet,200.0,3.0,,
New York Giants @ Denver Broncos,Cam Skattebo,Receiving,50,,,,,,,,600.0,,HardRockBet,600.0,7.0,,
New York Giants @ Denver Broncos,Cam Skattebo,Rushing,25,,,,,,,,-1300.0,,HardRockBet,-1300.0,1.0769230769230769,,
